"Code","Year.index","SHMI.index","SHMI.before","Survey.index.observations","Engagement.index","Survey.before.observations","Engagement.before","Survey.after.observations","Engagement.after"
"RD8",2017,0.9361,1.0404,1374,3.91666666666667,1400,3.92666666666667,1440,3.92666666666667
"RDD",2017,1.0826,1.0363,2195,3.91333333333333,1856,4.01333333333333,1940,3.96
"RDE",2017,1.1427,1.0897,1555,3.89,403,3.92666666666667,3554,3.9
"RDU",2017,0.918,0.9032,3391,4.00666666666667,3006,4.06333333333333,3680,4.08333333333333
"RDZ",2017,0.972,0.937,2005,4.02333333333333,1931,3.98666666666667,2351,4.01666666666667
"RE9",2017,1.201,1.1413,1571,3.82333333333333,1630,3.80666666666667,1408,3.82666666666667
"REF",2017,0.9696,0.9674,2837,3.86666666666667,2148,3.82,1932,3.84333333333333
"REM",2017,0.9882,1.0701,2231,3.81666666666667,1923,3.80333333333333,1785,3.85
"RF4",2017,1.0232,1.0712,2765,3.97666666666667,2465,4.05,2713,3.99
"RFF",2017,1.0147,0.9915,1297,3.81666666666667,1461,3.78333333333333,1459,3.9
"RFR",2017,1.0904,1.1013,1694,3.8,1608,3.79333333333333,1588,3.83333333333333
"RFS",2017,1.019,0.9868,2353,3.87,1248,3.85666666666667,2710,3.89333333333333
"RGN",2017,1.0785,1.0734,465,3.94666666666667,2006,4.00666666666667,2158,3.97
"RGP",2017,1.1768,1.1517,521,3.89,526,3.92666666666667,487,3.93
"RGR",2017,0.8853,0.9037,585,3.98333333333333,615,4.03,594,3.97333333333333
"RGT",2017,0.8651,0.8126,4511,3.89,3917,3.96333333333333,5081,3.96
"RH8",2017,1.1132,1.0518,3909,3.95,2666,3.93,4175,3.98333333333333
"RHM",2017,0.9452,0.9589,4673,3.98666666666667,3601,3.98666666666667,4593,3.97
"RHQ",2017,0.9536,0.9846,7145,3.85666666666667,7039,3.84333333333333,7443,3.85
"RHU",2017,1.0571,1.1002,4165,3.91333333333333,3905,3.98,4019,3.85
"RHW",2017,1.0552,1.0174,2168,3.95333333333333,1807,3.97666666666667,2318,4.02
"RJ1",2017,0.7204,0.7518,5293,3.98666666666667,5033,4.07666666666667,6428,3.99333333333333
"RJ2",2017,0.9696,1.0003,1813,3.89666666666667,1709,3.95333333333333,2062,3.94333333333333
"RJ6",2017,0.8837,0.9061,1347,3.98666666666667,1139,4.00666666666667,878,3.97333333333333
"RJ7",2017,0.8173,0.8446,4211,3.88,3359,3.87,4379,3.83666666666667
"RJC",2017,1.0103,1.071,586,3.97333333333333,651,4.11333333333333,621,4.01666666666667
"RJE",2017,1.046,1.0082,4184,3.87,3614,3.89,4226,3.89333333333333
"RJL",2017,1.191,1.1218,2014,3.79333333333333,2497,3.89333333333333,1974,3.85333333333333
"RJN",2017,1.071,1.1139,1024,3.93,1046,4.00666666666667,1139,3.95666666666667
"RJR",2017,1.067,1.0904,1466,3.86666666666667,1351,3.89666666666667,439,3.89333333333333
"RJZ",2017,0.9287,0.9292,4815,3.85333333333333,3762,3.89333333333333,4610,3.84333333333333
"RK5",2017,1.0201,0.951,2450,3.92666666666667,501,3.96666666666667,2752,3.95333333333333
"RK9",2017,1.0337,1.0004,3805,3.87333333333333,3012,3.85,3532,3.91
"RKB",2017,1.1197,1.1047,3154,3.96666666666667,2988,3.95,2895,3.99
"RKE",2017,0.7437,0.6907,1648,3.95,430,3.88333333333333,1912,3.92
"RL4",2017,1.2181,1.1101,3229,3.93666666666667,391,4,3101,3.96
"RLN",2017,0.9634,1.0061,1878,3.92,1672,3.93333333333333,2202,3.90666666666667
"RLQ",2017,1.1668,1.1894,1466,3.93333333333333,1418,3.98,547,3.98333333333333
"RLT",2017,1.0863,1.1012,905,3.91333333333333,838,3.90333333333333,800,3.87333333333333
"RM1",2017,1.0647,1.0897,3500,3.82666666666667,3175,3.82666666666667,3472,3.84333333333333
"RM3",2017,0.8902,0.8992,3134,3.84333333333333,3629,3.88666666666667,3255,3.89666666666667
"RMC",2017,1.0523,1.0432,521,3.94666666666667,436,3.98333333333333,544,4.04333333333333
"RMP",2017,1.0789,1.0926,489,4.00666666666667,474,4.03,1492,3.96333333333333
"RN3",2017,0.9518,0.9368,2419,3.94333333333333,592,4.01,525,3.89333333333333
"RN5",2017,1.0289,1.039,2494,3.96666666666667,2568,3.96,2548,3.89
"RN7",2017,1.0808,1.0378,1531,3.93333333333333,1442,3.95333333333333,1438,3.89333333333333
"RNA",2017,1.0435,0.9859,1674,3.92333333333333,1967,3.97,1640,3.88
"RNL",2017,0.9831,0.9747,1864,3.82666666666667,1746,3.85,1695,3.83
"RNQ",2017,1.107,1.0403,1380,3.88666666666667,1145,3.96666666666667,1749,3.97666666666667
"RNS",2017,0.979,0.9579,1826,3.93666666666667,1600,3.98666666666667,2104,3.94666666666667
"RNZ",2017,1.0798,1.0207,1481,3.97666666666667,1152,4,1320,3.90666666666667
"RP5",2017,1.0462,1.0363,3069,3.81333333333333,2877,3.85666666666667,3260,3.82666666666667
"RPA",2017,1.0271,1.0914,1748,3.87333333333333,1964,3.94,1596,3.80333333333333
"RQ6",2017,1.0511,1.0367,3031,3.79,2720,3.80666666666667,2569,3.82333333333333
"RQ8",2017,1.0899,1.0748,1507,3.87333333333333,445,4.01,1486,3.88
"RQM",2017,0.8149,0.8273,1708,3.96,2434,3.94,2276,4.02
"RQW",2017,1.1213,1.0551,1126,3.92,1177,3.90333333333333,1299,3.96
"RQX",2017,0.8147,0.774,1800,3.94333333333333,1805,3.94,1862,3.92
"RR7",2017,1.017,0.9987,1563,3.94,1156,3.92666666666667,1403,3.87333333333333
"RR8",2017,1.015,0.9787,5071,3.88666666666667,7002,3.92666666666667,6313,3.93333333333333
"RRF",2017,1.1729,1.1756,427,4.08,435,4.01,421,3.93
"RRK",2017,1.0295,1.0364,3813,3.91666666666667,3479,3.93333333333333,6770,3.90333333333333
"RRV",2017,0.7515,0.7466,3230,3.91666666666667,3204,3.97,3052,3.92
"RTD",2017,0.9282,0.9595,4524,3.88666666666667,4383,3.92333333333333,6599,3.92333333333333
"RTE",2017,1.0695,1.1401,3571,3.83333333333333,3730,3.83333333333333,3127,3.84333333333333
"RTF",2017,1.0142,1.0325,878,3.94333333333333,910,3.98333333333333,882,4.00666666666667
"RTG",2017,0.9394,1.0203,3384,3.96,2449,3.95666666666667,4429,3.95
"RTH",2017,0.9309,0.9354,4461,3.91,457,4.00666666666667,5674,3.89666666666667
"RTK",2017,0.9478,0.9642,1580,3.99333333333333,1508,4.06,1608,4.06666666666667
"RTP",2017,0.9494,0.9569,2450,4.02,2374,4.07,2522,4.04
"RTR",2017,1.1056,1.0267,406,3.83666666666667,2716,3.83333333333333,408,3.8
"RTX",2017,1.0038,1.0335,2140,3.91,2130,3.9,2371,3.96333333333333
"RVJ",2017,0.9552,0.9667,3662,3.83,395,3.90333333333333,3310,3.85666666666667
"RVR",2017,0.9527,0.9493,2412,3.92,2500,3.95,1967,3.88333333333333
"RVV",2017,1.0156,1.0105,3630,3.82333333333333,3404,3.84,3476,3.83333333333333
"RVW",2017,1.0499,1.1029,610,3.9,735,3.95333333333333,555,3.93666666666667
"RVY",2017,1.1419,1.1588,1243,3.82333333333333,1610,3.88333333333333,1113,3.83333333333333
"RW6",2017,1.0077,1.0906,2946,3.88,3971,3.84333333333333,3098,3.85666666666667
"RWA",2017,1.1034,1.0721,3428,3.94333333333333,3474,3.96333333333333,3153,3.94333333333333
"RWD",2017,1.1487,1.1139,3167,3.88666666666667,2801,3.96666666666667,3346,3.82333333333333
"RWE",2017,0.9663,1.0058,4680,3.91333333333333,431,3.97333333333333,5315,3.95333333333333
"RWF",2017,1.0219,1.0878,393,3.89,437,3.94333333333333,1860,3.92
"RWG",2017,0.9798,0.8952,1841,3.96333333333333,1745,3.95,2019,4.01666666666667
"RWH",2017,1.0736,1.0231,1601,3.87666666666667,1788,3.97666666666667,2350,3.92666666666667
"RWJ",2017,0.9609,0.9101,2106,3.87333333333333,1930,3.90666666666667,603,3.90666666666667
"RWP",2017,1.0476,1.0675,1935,3.92666666666667,1717,3.89666666666667,1956,3.9
"RWW",2017,1.0673,1.0978,1784,3.90666666666667,1456,3.91333333333333,1958,3.95666666666667
"RWY",2017,1.0064,1.0473,2386,3.88666666666667,545,3.95333333333333,2738,3.92333333333333
"RX1",2017,1.0185,1.0272,5123,3.85666666666667,4765,3.89,5278,3.86333333333333
"RXC",2017,1.0449,1.0919,3185,3.89333333333333,2912,3.89333333333333,3579,3.9
"RXF",2017,0.9862,0.9886,3283,3.84,477,3.80333333333333,504,3.88666666666667
"RXH",2017,0.9977,0.9632,4142,3.78,3094,3.82,4644,3.84666666666667
"RXK",2017,1.1259,1.0356,296,3.88666666666667,308,3.89666666666667,272,3.96333333333333
"RXL",2017,1.1453,1.1425,2308,3.99666666666667,2501,3.97,2278,3.97666666666667
"RXN",2017,1.044,1.0086,3785,3.92,3084,3.92,3553,3.86666666666667
"RXP",2017,1.0448,1.0612,3068,3.87,460,3.91,327,3.86
"RXQ",2017,1.0049,0.9366,2801,3.93333333333333,2959,3.96,2925,3.96666666666667
"RXR",2017,1.0675,1.0443,3305,3.93333333333333,3445,3.97,3595,3.99666666666667
"RXW",2017,1.0287,1.0031,2340,3.9,2033,3.91333333333333,2530,3.81
"RYJ",2017,0.7512,0.7645,483,3.93,489,3.97333333333333,540,3.98
"RYR",2017,0.959,0.9566,4425,3.94666666666667,3894,3.93,4302,3.91333333333333
"R1H",2016,0.8821,0.9003,6538,3.96333333333333,4063,3.89666666666667,6932,3.91333333333333
"R1K",2016,0.8158,0.903,2791,4.00333333333333,259,4.10666666666667,3715,4.03666666666667
"RA2",2016,0.9121,0.8637,1230,3.94666666666667,1392,3.98666666666667,1567,3.95333333333333
"RA3",2016,1.1106,1.1674,567,3.89,357,3.97666666666667,722,3.86
"RA4",2016,0.9958,1.0184,1365,3.95333333333333,1188,3.98666666666667,1275,3.94333333333333
"RA7",2016,0.9913,0.9774,3543,3.86333333333333,3586,3.86333333333333,3692,3.88
"RA9",2016,0.8312,0.8219,2690,3.93333333333333,2670,3.92,2132,3.89
"RAE",2016,0.9748,0.9465,453,3.93,379,3.95666666666667,2002,3.96
"RAJ",2016,1.1743,1.1516,1697,3.88,1815,3.84333333333333,1744,3.87333333333333
"RAL",2016,0.9012,0.8852,3688,3.96666666666667,3092,3.96333333333333,4072,3.94666666666667
"RAP",2016,0.8893,0.9494,973,4.05,201,4.06,1203,4.02
"RAS",2016,0.9313,0.8805,1400,4.07333333333333,932,4.05666666666667,1513,4.03333333333333
"RAX",2016,0.8584,0.9263,1384,3.95666666666667,1093,3.94,1515,3.97333333333333
"RBA",2016,0.9844,1,2063,3.95,367,4.02333333333333,1730,3.97
"RBD",2016,1.1551,1.1493,1366,3.85,1434,3.91,1310,3.93333333333333
"RBK",2016,1.0339,1.046,1701,3.81333333333333,1400,3.83,1509,3.81333333333333
"RBL",2016,0.9699,0.9834,549,3.92333333333333,499,4.00666666666667,375,3.91
"RBN",2016,1.0347,1.0338,675,3.99333333333333,439,4.02,617,3.98666666666667
"RBT",2016,1.0424,0.9684,707,3.99333333333333,496,4.01,669,3.90666666666667
"RBZ",2016,1.0438,1.0085,442,3.96,406,4.08,1148,3.97
"RC1",2016,1.049,0.9937,490,3.96,317,4.05,458,3.99
"RC9",2016,1.0595,1.1032,510,4.02666666666667,395,3.97666666666667,2087,3.99333333333333
"RCB",2016,0.974,0.9949,3803,3.89666666666667,3790,3.92333333333333,4061,3.87
"RCD",2016,0.9398,0.9392,647,4.02,479,4.01666666666667,626,3.95666666666667
"RCF",2016,0.9656,0.9074,1028,3.89,998,3.92,1225,3.94333333333333
"RCX",2016,1.0098,0.9107,1362,3.96666666666667,410,3.96333333333333,1413,3.94333333333333
"RD1",2016,1.0089,0.9741,2205,3.95,2265,3.90666666666667,2243,3.91333333333333
"RD3",2016,0.8325,0.9172,1885,3.98333333333333,1402,3.97333333333333,1814,4.00333333333333
"RD8",2016,1.0404,1.0261,1400,3.92666666666667,1484,3.96,1374,3.91666666666667
"RDD",2016,1.0363,0.9421,1856,4.01333333333333,1424,3.93666666666667,2195,3.91333333333333
"RDE",2016,1.0897,1.0694,403,3.92666666666667,254,3.90666666666667,1555,3.89
"RDU",2016,0.9032,0.9341,3006,4.06333333333333,304,4.00333333333333,3391,4.00666666666667
"RDZ",2016,0.937,0.9843,1931,3.98666666666667,1558,4.02666666666667,2005,4.02333333333333
"RE9",2016,1.1413,1.1556,1630,3.80666666666667,1475,3.82666666666667,1571,3.82333333333333
"REF",2016,0.9674,1.0857,2148,3.82,1831,3.76333333333333,2837,3.86666666666667
"REM",2016,1.0701,1.0364,1923,3.80333333333333,1744,3.90666666666667,2231,3.81666666666667
"RF4",2016,1.0712,0.9598,2465,4.05,2035,4.01333333333333,2765,3.97666666666667
"RFF",2016,0.9915,0.9857,1461,3.78333333333333,1253,3.84666666666667,1297,3.81666666666667
"RFR",2016,1.1013,1.0501,1608,3.79333333333333,1618,3.79,1694,3.8
"RFS",2016,0.9868,0.9844,1248,3.85666666666667,1993,3.93666666666667,2353,3.87
"RGN",2016,1.0734,1.0455,2006,4.00666666666667,375,3.92666666666667,465,3.94666666666667
"RGP",2016,1.1517,1.0895,526,3.92666666666667,398,4.02,521,3.89
"RGQ",2016,0.9962,0.9811,553,3.93666666666667,401,3.99666666666667,1919,3.95333333333333
"RGR",2016,0.9037,0.8765,615,4.03,456,3.97,585,3.98333333333333
"RGT",2016,0.8126,0.8363,3917,3.96333333333333,3176,3.95333333333333,4511,3.89
"RH8",2016,1.0518,0.9815,2666,3.93,337,3.93333333333333,3909,3.95
"RHM",2016,0.9589,0.9509,3601,3.98666666666667,3518,3.96,4673,3.98666666666667
"RHQ",2016,0.9846,0.9362,7039,3.84333333333333,412,3.81666666666667,7145,3.85666666666667
"RHU",2016,1.1002,1.0711,3905,3.98,4237,3.96333333333333,4165,3.91333333333333
"RHW",2016,1.0174,0.9457,1807,3.97666666666667,1937,3.97666666666667,2168,3.95333333333333
"RJ1",2016,0.7518,0.7424,5033,4.07666666666667,4378,4.03666666666667,5293,3.98666666666667
"RJ2",2016,1.0003,1.0129,1709,3.95333333333333,1478,3.94666666666667,1813,3.89666666666667
"RJ7",2016,0.8446,0.9057,3359,3.87,2500,3.84333333333333,4211,3.88
"RJC",2016,1.071,1.0548,651,4.11333333333333,436,4.02,586,3.97333333333333
"RJE",2016,1.0082,1.033,3614,3.89,284,3.99,4184,3.87
"RJF",2016,0.9918,0.9653,1289,3.95666666666667,387,4,1390,3.96
"RJL",2016,1.1218,1.0755,2497,3.89333333333333,407,3.96,2014,3.79333333333333
"RJN",2016,1.1139,1.0279,1046,4.00666666666667,1175,3.94,1024,3.93
"RJR",2016,1.0904,1.0527,1351,3.89666666666667,1475,3.87,1466,3.86666666666667
"RJZ",2016,0.9292,0.8709,3762,3.89333333333333,244,3.96,4815,3.85333333333333
"RK5",2016,0.951,0.9909,501,3.96666666666667,377,3.86333333333333,2450,3.92666666666667
"RK9",2016,1.0004,1.0047,3012,3.85,2665,3.82666666666667,3805,3.87333333333333
"RKB",2016,1.1047,1.0627,2988,3.95,328,4.03,3154,3.96666666666667
"RKE",2016,0.6907,0.6688,430,3.88333333333333,1186,3.93,1648,3.95
"RL4",2016,1.1101,1.0395,391,4,327,4.10666666666667,3229,3.93666666666667
"RLN",2016,1.0061,0.976,1672,3.93333333333333,252,3.95,1878,3.92
"RLQ",2016,1.1894,1.152,1418,3.98,380,4,1466,3.93333333333333
"RLT",2016,1.1012,1.1506,838,3.90333333333333,710,3.85333333333333,905,3.91333333333333
"RM1",2016,1.0897,1.0401,3175,3.82666666666667,3214,3.84333333333333,3500,3.82666666666667
"RM2",2016,0.9551,0.9793,433,3.90333333333333,302,3.82333333333333,2055,3.89333333333333
"RM3",2016,0.8992,0.8962,3629,3.88666666666667,355,3.9,3134,3.84333333333333
"RMC",2016,1.0432,1.045,436,3.98333333333333,374,4.05,521,3.94666666666667
"RMP",2016,1.0926,1.1493,474,4.03,321,4.03333333333333,489,4.00666666666667
"RN3",2016,0.9368,0.9466,592,4.01,363,4.11,2419,3.94333333333333
"RN5",2016,1.039,1.1067,2568,3.96,2341,3.95333333333333,2494,3.96666666666667
"RN7",2016,1.0378,1.0695,1442,3.95333333333333,1429,4.01333333333333,1531,3.93333333333333
"RNA",2016,0.9859,0.998,1967,3.97,384,3.99333333333333,1674,3.92333333333333
"RNL",2016,0.9747,1.0121,1746,3.85,397,3.87,1864,3.82666666666667
"RNQ",2016,1.0403,1.0757,1145,3.96666666666667,917,3.92,1380,3.88666666666667
"RNS",2016,0.9579,0.9842,1600,3.98666666666667,1432,3.91333333333333,1826,3.93666666666667
"RNZ",2016,1.0207,1.1184,1152,4,990,4.06666666666667,1481,3.97666666666667
"RP5",2016,1.0363,1.0004,2877,3.85666666666667,2738,3.92333333333333,3069,3.81333333333333
"RPA",2016,1.0914,1.1274,1964,3.94,1467,3.90333333333333,1748,3.87333333333333
"RQ6",2016,1.0367,1.0229,2720,3.80666666666667,2370,3.83666666666667,3031,3.79
"RQ8",2016,1.0748,1.0814,445,4.01,214,3.92666666666667,1507,3.87333333333333
"RQM",2016,0.8273,0.8777,2434,3.94,1494,3.91333333333333,1708,3.96
"RQW",2016,1.0551,0.9941,1177,3.90333333333333,265,3.92,1126,3.92
"RQX",2016,0.774,0.9421,1805,3.94,1174,3.95333333333333,1800,3.94333333333333
"RR1",2016,0.9662,0.9759,3533,3.90666666666667,2783,3.81333333333333,3982,3.88
"RR7",2016,0.9987,0.9646,1156,3.92666666666667,1221,3.84666666666667,1563,3.94
"RR8",2016,0.9787,1.0065,7002,3.92666666666667,7329,3.88666666666667,5071,3.88666666666667
"RRF",2016,1.1756,1.1153,435,4.01,298,4.12333333333333,427,4.08
"RRK",2016,1.0364,1.0269,3479,3.93333333333333,407,3.97,3813,3.91666666666667
"RRV",2016,0.7466,0.7586,3204,3.97,2569,3.90333333333333,3230,3.91666666666667
"RTD",2016,0.9595,0.9875,4383,3.92333333333333,400,3.9,4524,3.88666666666667
"RTE",2016,1.1401,1.1069,3730,3.83333333333333,3654,3.86666666666667,3571,3.83333333333333
"RTF",2016,1.0325,1.0372,910,3.98333333333333,631,4.00333333333333,878,3.94333333333333
"RTG",2016,1.0203,1.0242,2449,3.95666666666667,2433,3.92333333333333,3384,3.96
"RTH",2016,0.9354,0.9858,457,4.00666666666667,238,3.87,4461,3.91
"RTK",2016,0.9642,0.9377,1508,4.06,1492,3.93666666666667,1580,3.99333333333333
"RTP",2016,0.9569,0.9518,2374,4.07,2135,4.06666666666667,2450,4.02
"RTR",2016,1.0267,1.1009,2716,3.83333333333333,3851,3.82,406,3.83666666666667
"RTX",2016,1.0335,0.9914,2130,3.9,408,3.93666666666667,2140,3.91
"RVJ",2016,0.9667,0.9017,395,3.90333333333333,2600,3.83,3662,3.83
"RVR",2016,0.9493,0.9574,2500,3.95,1490,3.99,2412,3.92
"RVV",2016,1.0105,0.9989,3404,3.84,2986,3.85,3630,3.82333333333333
"RVW",2016,1.1029,1.1731,735,3.95333333333333,367,3.89666666666667,610,3.9
"RVY",2016,1.1588,1.0789,1610,3.88333333333333,392,3.96,1243,3.82333333333333
"RW3",2016,1.1179,1.0045,391,3.95,345,3.96,4852,3.88666666666667
"RW6",2016,1.0906,1.0796,3971,3.84333333333333,238,3.84,2946,3.88
"RWA",2016,1.0721,1.1223,3474,3.96333333333333,294,3.93333333333333,3428,3.94333333333333
"RWD",2016,1.1139,1.1099,2801,3.96666666666667,273,3.88666666666667,3167,3.88666666666667
"RWE",2016,1.0058,0.9816,431,3.97333333333333,208,3.99,4680,3.91333333333333
"RWF",2016,1.0878,1.0568,437,3.94333333333333,332,3.97,393,3.89
"RWG",2016,0.8952,0.9378,1745,3.95,1307,3.95,1841,3.96333333333333
"RWH",2016,1.0231,1.0969,1788,3.97666666666667,1679,3.97666666666667,1601,3.87666666666667
"RWJ",2016,0.9101,0.9748,1930,3.90666666666667,1844,3.88333333333333,2106,3.87333333333333
"RWP",2016,1.0675,1.1257,1717,3.89666666666667,366,3.9,1935,3.92666666666667
"RWW",2016,1.0978,1.1065,1456,3.91333333333333,273,3.93,1784,3.90666666666667
"RWY",2016,1.0473,1.138,545,3.95333333333333,328,3.93666666666667,2386,3.88666666666667
"RX1",2016,1.0272,1.0535,4765,3.89,3576,3.95,5123,3.85666666666667
"RXC",2016,1.0919,1.1352,2912,3.89333333333333,2368,3.76666666666667,3185,3.89333333333333
"RXF",2016,0.9886,0.9473,477,3.80333333333333,2934,3.77,3283,3.84
"RXH",2016,0.9632,0.9583,3094,3.82,339,3.88333333333333,4142,3.78
"RXK",2016,1.0356,0.9927,308,3.89666666666667,156,3.97666666666667,296,3.88666666666667
"RXL",2016,1.1425,1.15,2501,3.97,2042,4.02333333333333,2308,3.99666666666667
"RXN",2016,1.0086,0.9948,3084,3.92,2494,3.88,3785,3.92
"RXP",2016,1.0612,1.023,460,3.91,441,3.96,3068,3.87
"RXQ",2016,0.9366,0.9868,2959,3.96,2835,3.96,2801,3.93333333333333
"RXR",2016,1.0443,1.0635,3445,3.97,2824,3.97666666666667,3305,3.93333333333333
"RXW",2016,1.0031,1.0265,2033,3.91333333333333,2277,3.91666666666667,2340,3.9
"RYJ",2016,0.7645,0.758,489,3.97333333333333,264,3.93333333333333,483,3.93
"RYR",2016,0.9566,1.0127,3894,3.93,3419,3.87333333333333,4425,3.94666666666667
"R1H",2015,0.9003,0.8452,4063,3.89666666666667,3769,3.81,6538,3.96333333333333
"R1K",2015,0.903,0.8802,259,4.10666666666667,263,4.00666666666667,2791,4.00333333333333
"RA2",2015,0.8637,0.7997,1392,3.98666666666667,1264,3.90333333333333,1230,3.94666666666667
"RA3",2015,1.1674,1.0183,357,3.97666666666667,394,3.81,567,3.89
"RA4",2015,1.0184,1.0107,1188,3.98666666666667,1219,3.84,1365,3.95333333333333
"RA7",2015,0.9774,0.9781,3586,3.86333333333333,3609,3.78333333333333,3543,3.86333333333333
"RA9",2015,0.8219,0.9785,2670,3.92,433,3.91,2690,3.93333333333333
"RAE",2015,0.9465,0.9684,379,3.95666666666667,301,3.87,453,3.93
"RAJ",2015,1.1516,1.0361,1815,3.84333333333333,1720,3.71666666666667,1697,3.88
"RAL",2015,0.8852,0.8608,3092,3.96333333333333,3719,3.86,3688,3.96666666666667
"RAP",2015,0.9494,0.9546,201,4.06,209,3.96666666666667,973,4.05
"RAS",2015,0.8805,0.9197,932,4.05666666666667,794,4.02666666666667,1400,4.07333333333333
"RAX",2015,0.9263,0.8783,1093,3.94,349,3.78,1384,3.95666666666667
"RBA",2015,1,0.9674,367,4.02333333333333,238,3.83333333333333,2063,3.95
"RBD",2015,1.1493,1.079,1434,3.91,1362,3.85,1366,3.85
"RBK",2015,1.046,1.1032,1400,3.83,352,3.76,1701,3.81333333333333
"RBL",2015,0.9834,0.9661,499,4.00666666666667,2432,3.67666666666667,549,3.92333333333333
"RBN",2015,1.0338,1.0659,439,4.02,425,3.91,675,3.99333333333333
"RBT",2015,0.9684,0.9991,496,4.01,539,3.89666666666667,707,3.99333333333333
"RBZ",2015,1.0085,0.9331,406,4.08,362,3.94,442,3.96
"RC1",2015,0.9937,1.0353,317,4.05,348,4.03333333333333,490,3.96
"RC9",2015,1.1032,1.0206,395,3.97666666666667,1183,3.91333333333333,510,4.02666666666667
"RCB",2015,0.9949,1.0116,3790,3.92333333333333,1951,3.81666666666667,3803,3.89666666666667
"RCD",2015,0.9392,1.0132,479,4.01666666666667,464,3.93666666666667,647,4.02
"RCF",2015,0.9074,0.9393,998,3.92,1028,3.81,1028,3.89
"RCX",2015,0.9107,0.9291,410,3.96333333333333,392,3.85333333333333,1362,3.96666666666667
"RD1",2015,0.9741,0.9673,2265,3.90666666666667,2559,3.91,2205,3.95
"RD3",2015,0.9172,0.9895,1402,3.97333333333333,452,3.86333333333333,1885,3.98333333333333
"RD8",2015,1.0261,1.0024,1484,3.96,375,3.98333333333333,1400,3.92666666666667
"RDD",2015,0.9421,0.9838,1424,3.93666666666667,1207,3.84666666666667,1856,4.01333333333333
"RDE",2015,1.0694,1.0403,254,3.90666666666667,1662,3.73333333333333,403,3.92666666666667
"RDU",2015,0.9341,0.9283,304,4.00333333333333,1728,3.99,3006,4.06333333333333
"RDZ",2015,0.9843,1.0269,1558,4.02666666666667,403,3.84333333333333,1931,3.98666666666667
"RE9",2015,1.1556,1.1749,1475,3.82666666666667,1750,3.79,1630,3.80666666666667
"REF",2015,1.0857,1.0413,1831,3.76333333333333,2189,3.61333333333333,2148,3.82
"REM",2015,1.0364,1.0759,1744,3.90666666666667,375,3.76,1923,3.80333333333333
"RF4",2015,0.9598,0.9679,2035,4.01333333333333,1751,3.88333333333333,2465,4.05
"RFF",2015,0.9857,1.0253,1253,3.84666666666667,1184,3.72,1461,3.78333333333333
"RFR",2015,1.0501,1.0643,1618,3.79,1661,3.69666666666667,1608,3.79333333333333
"RFS",2015,0.9844,0.929,1993,3.93666666666667,362,3.76333333333333,1248,3.85666666666667
